Model,Data,Seq Len,Pred Len,Batch Size,Epochs,Total Duration,Avg Epoch Duration,Test MSE Loss,Test MAE Loss,Max GPU Utilization
TimesNet,ETTm1,300,336,4,10,948.00,237.00,0.5848657,0.4963648,1407
TimesNet,ETTm1,300,720,4,10,1016.00,254.00,0.6165421,0.5159178,1469
TimesNet,ETTm1,300,192,4,10,828.00,207.00,0.5599190,0.4932392,1417
TimesNet,ETTm1,300,96,4,10,844.00,211.00,0.4143520,0.4286679,1405
TimesNet,ETTh2,300,720,4,10,240.00,60.00,0.4796170,0.4812958,1377
TimesNet,ETTh2,300,336,4,10,246.00,49.20,0.4689223,0.4616880,1435
TimesNet,ETTh2,300,192,4,10,196.00,49.00,0.4025131,0.4318914,1361
TimesNet,ETTh2,300,96,4,10,212.00,53.00,0.4208311,0.4323276,1351
TimesNet,electricity,300,336,4,10,3952.00,988.00,0.2305813,0.3231237,20835
TimesNet,electricity,300,96,4,10,3230.00,807.50,0.2185080,0.3119045,4329
TimesNet,electricity,300,720,4,10,6028.00,1205.60,0.2526733,0.3349993,4799
TimesNet,electricity,300,192,4,10,3138.00,784.50,0.2321320,0.3223288,4261
TimesNet,ETTh1,300,192,4,10,218.00,54.50,0.5775774,0.5170435,1353
TimesNet,ETTh1,300,720,4,10,232.00,58.00,0.9726761,0.6903051,1469
TimesNet,ETTh1,300,336,4,10,228.00,57.00,0.6547768,0.5683761,1349
TimesNet,ETTh1,300,96,4,10,227.00,56.75,0.5450404,0.4885040,17905
TimesNet,weather,300,336,4,10,786.00,196.50,0.3717446,0.3706963,1435
TimesNet,weather,300,192,4,10,766.00,191.50,0.3004086,0.3198005,1361
TimesNet,weather,300,96,4,10,775.00,193.75,0.2159238,0.2560441,1359
TimesNet,weather,300,720,4,10,952.00,238.00,0.4141138,0.3871736,1317
TimesNet,ETTm2,300,336,4,10,799.00,199.75,0.4499182,0.4141012,1367
TimesNet,ETTm2,300,96,4,10,776.00,194.00,0.2596700,0.3122520,1351
TimesNet,ETTm2,300,720,4,10,997.00,249.25,0.4346837,0.4232087,1469
TimesNet,ETTm2,300,192,4,10,768.00,192.00,0.3539814,0.3721707,1363
TimesNet,illness,300,60,4,10,218.00,54.50,5.0641456,1.4891430,14525
TimesNet,illness,300,24,4,10,462.00,57.75,3.8950529,1.3091131,14763
TimesNet,illness,300,48,4,10,380.00,54.29,4.3297014,1.4155699,14961
TimesNet,illness,300,36,4,10,337.00,56.17,4.2329903,1.3760960,14851
TimesNet,traffic,300,192,4,10,4768.00,953.60,0.7227790,0.3772672,7403
TimesNet,traffic,300,96,4,10,3588.00,897.00,0.6425375,0.3356727,23885
TimesNet,traffic,300,336,4,10,6158.00,1231.60,0.7202792,0.3728222,7415
TimesNet,traffic,300,720,4,10,6025.00,1506.25,0.6687600,0.3510821,7755
TimeMixer,ETTm1,312,192,4,10,460.00,115.00,331030912.0000000,11235.0839844,17671
TimeMixer,ETTm1,312,720,4,10,null,null,null,null,null
TimeMixer,ETTm1,312,96,4,10,1127.00,112.70,4.8245597,0.8520027,1091
TimeMixer,ETTm1,312,336,4,10,null,null,null,null,null
TimeMixer,ETTh2,312,96,4,10,282.00,28.20,4702.1494141,47.3833504,1091
TimeMixer,ETTh2,312,192,4,10,119.00,29.75,400946404261888.0000000,12220375.0000000,17671
TimeMixer,ETTh2,312,720,4,10,null,null,78704.7578125,176.9602356,1097
TimeMixer,ETTh2,312,336,4,10,null,null,5568214528.0000000,50392.5507812,1095
TimeMixer,electricity,312,720,4,20,null,null,null,null,null
TimeMixer,electricity,312,336,4,20,null,null,null,null,null
TimeMixer,electricity,312,192,4,20,null,null,480458475072126976.0000000,443654848.0000000,2995
TimeMixer,electricity,312,96,4,20,null,null,0.1312546,0.2236755,2933
