Model,Data,Pred Len,Seq Len,Batch Size,Epochs,Total Duration,Avg Epoch Duration,Test MSE Loss,Test MAE Loss,Max GPU Utilization,Parameter Count
Reservoir,ETTm1,Reservoir_ETTm1_336,300,4,10,64.46,68.874,0.6613370,0.5310428,7769.75,330776
Reservoir,ETTm1,Reservoir_ETTm1_192,300,4,10,59.48,63.872,0.5146440,0.4685079,3717.75,287432
Reservoir,ETTm1,Reservoir_ETTm1_720,300,4,10,63.70,68.464,0.9717026,0.6432539,25921.75,446360
Reservoir,ETTm1,Reservoir_ETTm1_96,300,4,10,59.49,62.988,0.4004125,0.4128200,1887.75,258536
Reservoir,ETTh2,Reservoir_ETTh2_96,300,4,10,11.90,12.486,0.2043132,0.3080992,17643.5,258536
Reservoir,ETTh2,Reservoir_ETTh2_336,300,4,10,11.55,12.108,0.3572536,0.4062101,1345.75,330776
Reservoir,ETTh2,Reservoir_ETTh2_192,300,4,10,12.51,13.104,0.2668715,0.3516107,1107.75,287432
Reservoir,ETTh2,Reservoir_ETTh2_720,300,4,10,11.14,11.697,0.5980330,0.5376064,2161.75,446360
Reservoir,electricity,Reservoir_electricity_720,300,4,10,60.45,51.766999999999996,0.1816653,0.2685749,26563.5,936828
Reservoir,electricity,Reservoir_electricity_336,300,4,10,46.57,49.135,0.1498777,0.2399016,11715.75,821244
Reservoir,electricity,Reservoir_electricity_192,300,4,10,42.51,41.465999999999994,0.1346361,0.2257429,45913.75,777900
Reservoir,electricity,Reservoir_electricity_96,300,4,10,44.01,40.097,0.1210304,0.2126026,13951.75,749004
Reservoir,ETTh1,Reservoir_ETTh1_720,300,4,10,11.07,11.596,1.4487255,0.8257881,2161.75,446360
Reservoir,ETTh1,Reservoir_ETTh1_192,300,4,10,12.46,13.011000000000001,0.9334618,0.6466264,1107.75,287432
Reservoir,ETTh1,Reservoir_ETTh1_96,300,4,10,11.88,12.456,0.6773636,0.5494202,1065.75,258536
Reservoir,ETTh1,Reservoir_ETTh1_336,300,4,10,11.55,12.145,1.1816941,0.7394391,1345.75,330776
Reservoir,weather,Reservoir_weather_336,300,4,10,62.71,62.557,0.5904907,0.3917753,12631.75,344244
Reservoir,weather,Reservoir_weather_720,300,4,10,62.58,66.68699999999998,0.6937986,0.4607979,40507.75,459828
Reservoir,weather,Reservoir_weather_192,300,4,10,61.21,60.91300000000001,0.5157448,0.3342938,5805.75,300900
Reservoir,weather,Reservoir_weather_96,300,4,10,60.02,60.089,0.4408354,0.2905748,2735.75,272004
Reservoir,ETTm2,Reservoir_ETTm2_192,300,4,10,59.49,63.629,0.1552902,0.2671338,3717.75,287432
Reservoir,ETTm2,Reservoir_ETTm2_336,300,4,10,65.78,69.17999999999999,0.1977159,0.3001880,24347.5,330776
Reservoir,ETTm2,Reservoir_ETTm2_96,300,4,10,63.06,66.56899999999999,0.1121343,0.2267975,1887.75,258536
Reservoir,ETTm2,Reservoir_ETTm2_720,300,4,10,66.43,70.97600000000001,0.2646346,0.3455089,25921.75,446360
Reservoir,illness,Reservoir_illness_60,300,4,10,0.65,0.5159999999999999,0.3015779,0.3909494,17599.5,247700
Reservoir,illness,Reservoir_illness_24,300,4,10,0.66,0.5249999999999999,0.2860682,0.3621226,1021.75,236864
Reservoir,illness,Reservoir_illness_48,300,4,10,0.63,0.49499999999999994,0.2762980,0.3682657,1021.75,244088
Reservoir,illness,Reservoir_illness_36,300,4,10,0.64,0.5050000000000001,0.2870550,0.3847408,1021.75,240476
Reservoir,traffic,Reservoir_traffic_720,300,4,10,,0,,,0,
Reservoir,traffic,Reservoir_traffic_96,300,4,10,,0,,,0,
Reservoir,traffic,Reservoir_traffic_192,300,4,10,,0,,,0,
Reservoir,traffic,Reservoir_traffic_336,300,4,10,,0,,,0,
